Select ,CRN ,Subj ,Crse ,Sec ,Cmp ,Cred ,Part of Term ,Title ,Days ,Time ,Cap ,Act ,Rem ,Instructor ,Date (MM/DD) ,Location ,Attribute
SR ,12830,CSCE ,522,H10 ,COL ,3,30 - Columbia Full Term ,HNRS: Information Security Principles ,TR ,01:15 pm-02:30 pm ,6,5,1,Csilla Farkas (P) ,08/24-12/08 ,WMBB 409 ,SC Honors College
SR ,15161,CSCE ,552,1,COL ,3,30 - Columbia Full Term ,Computer Game Development ,F ,08:30 am-11:15 am ,40,37,3,Jijun Tang (P) ,08/24-12/08 ,300MN B112 , 
SR ,17362,CSCE ,572,1,COL ,3,30 - Columbia Full Term ,Human-Computer Interaction ,MW ,01:15 pm-02:30 pm ,39,34,5,Yan Tong (P) ,08/24-12/08 ,300MN B112 , 
SR ,22190,CSCE ,574,1,COL ,3,30 - Columbia Full Term ,Robotics ,MW ,11:40 am-12:55 pm ,32,19,13,Alberto Quattrini Li (P) ,08/24-12/08 ,300MN B112 , 
SR ,18578,CSCE ,587,1,COL ,3,30 - Columbia Full Term ,Big Data Analytics ,TR ,10:05 am-11:20 am ,34,33,1,John R. Rose (P) ,08/24-12/08 ,SWGN 1D29 , 
SR ,24889,CSCE ,587,2,COL ,3,30 - Columbia Full Term ,Big Data Analytics ,TR ,08:30 am-09:45 am ,34,33,1,John R. Rose (P) ,08/24-12/08 ,SWGN 1D29 , 
C ,12833,CSCE ,611,1,COL ,3,30 - Columbia Full Term ,Advanced Digital Design ,MW ,03:55 pm-05:10 pm ,40,40,0,Jason Daniel Bakos (P) ,08/24-12/08 ,SWGN 2A31 , 
SR ,18629,CSCE ,740,1,COL ,3,30 - Columbia Full Term ,Software Engineering ,TR ,08:30 am-09:45 am ,28,18,10,Gregory James Gay (P) ,08/24-12/08 ,SWGN 2A05 , 
SR ,18630,CSCE ,740,6,COL ,3,30 - Columbia Full Term ,Software Engineering ,TR ,08:30 am-09:45 am ,22,6,16,Gregory James Gay (P) ,08/24-12/08 ,WEB COLUMBIA , 
SR ,25398,CSCE ,741,1,COL ,3,30 - Columbia Full Term ,Software Process ,MW ,02:20 pm-03:35 pm ,40,10,30,Manton M. Matthews (P) ,08/24-12/08 ,WMBB 409 , 
SR ,25399,CSCE ,741,6,COL ,3,30 - Columbia Full Term ,Software Process ,MW ,02:20 pm-03:35 pm ,50,1,49,Manton M. Matthews (P) ,08/24-12/08 ,WEB COLUMBIA , 
SR ,12841,CSCE ,750,1,COL ,3,30 - Columbia Full Term ,Analysis of Algorithms ,TR ,11:40 am-12:55 pm ,50,46,4,Jason Matthew Okane (P) ,08/24-12/08 ,WMBB 409 , 
SR ,16730,CSCE ,750,6,COL ,3,30 - Columbia Full Term ,Analysis of Algorithms ,TR ,11:40 am-12:55 pm ,28,3,25,Jason Matthew Okane (P) ,08/24-12/08 ,WEB COLUMBIA , 
SR ,24816,CSCE ,768,1,COL ,3,30 - Columbia Full Term ,Pattern Recognition and Classification ,TR ,02:50 pm-04:05 pm ,28,27,1,Jianjun Hu (P) ,08/24-12/08 ,SWGN 2A05 , 
SR ,24818,CSCE ,768,6,COL ,3,30 - Columbia Full Term ,Pattern Recognition and Classification ,TR ,02:50 pm-04:05 pm ,28,2,26,Jianjun Hu (P) ,08/24-12/08 ,WEB COLUMBIA , 
SR ,23224,CSCE ,790,1,COL ,1.000-3.000 ,30 - Columbia Full Term ,Topics in Information Technology ,MW ,12:00 pm-01:15 pm ,20,1,19,Yonghong Yan (P) ,08/24-12/08 ,SWGN 2A19 , 
SR ,28374,CSCE ,790,2,COL ,3,30 - Columbia Full Term ,Topic: Quantum Computation and Information ,TR ,01:15 pm-02:30 pm ,10,9,1,Stephen A. Fenner (P) ,08/24-12/08 ,SWGN 3A75 , 
SR ,15609,CSCE ,791,1,COL ,1,30 - Columbia Full Term ,Seminar in Advances in Computing ,F ,02:20 pm-03:10 pm ,49,24,25,Gregory James Gay (P) ,08/24-12/08 ,SWGN 2A14 , 
C ,29908,CSCE ,793,1,COL ,1,30 - Columbia Full Term ,Internship in Software Engineering ,  ,TBA ,1,1,0,Jason Matthew Okane (P) ,08/24-12/08 ,TBA , 
SR ,12615,CSCE ,798,1,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,2,48,Jason Daniel Bakos (P) ,08/24-12/08 ,TBA , 
SR ,12617,CSCE ,798,2,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Jenay Michelle Beer (P) ,08/24-12/08 ,TBA , 
SR ,12619,CSCE ,798,3,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Duncan A. Buell (P) ,08/24-12/08 ,TBA , 
SR ,12620,CSCE ,798,4,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Csilla Farkas (P) ,08/24-12/08 ,TBA , 
SR ,12622,CSCE ,798,5,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Stephen A. Fenner (P) ,08/24-12/08 ,TBA , 
SR ,12623,CSCE ,798,6,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Gregory James Gay (P) ,08/24-12/08 ,TBA , 
SR ,12624,CSCE ,798,7,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Jianjun Hu (P) ,08/24-12/08 ,TBA , 
SR ,18751,CSCE ,798,8,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Chin-Tser Huang (P) ,08/24-12/08 ,TBA , 
SR ,12625,CSCE ,798,9,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Michael N. Huhns (P) ,08/24-12/08 ,TBA , 
SR ,12628,CSCE ,798,10,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Manton M. Matthews (P) ,08/24-12/08 ,TBA , 
SR ,12630,CSCE ,798,11,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Srihari Nelakuditi (P) ,08/24-12/08 ,TBA , 
SR ,12633,CSCE ,798,12,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,2,48,Jason Matthew Okane (P) ,08/24-12/08 ,TBA , 
SR ,12634,CSCE ,798,13,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,3,47,Ioannis M Rekleitis (P) ,08/24-12/08 ,TBA , 
SR ,12636,CSCE ,798,14,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,John R. Rose (P) ,08/24-12/08 ,TBA , 
SR ,12637,CSCE ,798,15,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Jijun Tang (P) ,08/24-12/08 ,TBA , 
SR ,12640,CSCE ,798,16,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Gabriel Alin Terejanu (P) ,08/24-12/08 ,TBA , 
SR ,12644,CSCE ,798,17,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Matt Eric Thatcher (P) ,08/24-12/08 ,TBA , 
SR ,12645,CSCE ,798,18,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Yan Tong (P) ,08/24-12/08 ,TBA , 
SR ,12650,CSCE ,798,19,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Homayoun Valafar (P) ,08/24-12/08 ,TBA , 
SR ,12655,CSCE ,798,20,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Marco Valtorta (P) ,08/24-12/08 ,TBA , 
SR ,12660,CSCE ,798,21,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Jose M Vidal (P) ,08/24-12/08 ,TBA , 
SR ,12664,CSCE ,798,22,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Song Wang (P) ,08/24-12/08 ,TBA , 
SR ,18753,CSCE ,798,23,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Wenyuan Xu (P) ,08/24-12/08 ,TBA , 
SR ,21909,CSCE ,798,24,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,1,49,Yonghong Yan (P) ,08/24-12/08 ,TBA , 
SR ,30348,CSCE ,798,25,COL ,1.000-12.000 ,30 - Columbia Full Term ,Directed Study and Research ,  ,TBA ,50,0,50,Lannan Luo (P) ,08/24-12/08 ,TBA , 
SR ,12672,CSCE ,799,1,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,1,49,Jason Daniel Bakos (P) ,08/24-12/08 ,TBA , 
SR ,12680,CSCE ,799,2,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Jenay Michelle Beer (P) ,08/24-12/08 ,TBA , 
SR ,12690,CSCE ,799,3,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Duncan A. Buell (P) ,08/24-12/08 ,TBA , 
SR ,12694,CSCE ,799,4,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Csilla Farkas (P) ,08/24-12/08 ,TBA , 
SR ,12697,CSCE ,799,5,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Stephen A. Fenner (P) ,08/24-12/08 ,TBA , 
SR ,12701,CSCE ,799,6,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,2,48,Gregory James Gay (P) ,08/24-12/08 ,TBA , 
SR ,12704,CSCE ,799,7,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Jianjun Hu (P) ,08/24-12/08 ,TBA , 
SR ,18758,CSCE ,799,8,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Chin-Tser Huang (P) ,08/24-12/08 ,TBA , 
SR ,12711,CSCE ,799,9,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Michael N. Huhns (P) ,08/24-12/08 ,TBA , 
SR ,12714,CSCE ,799,10,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Manton M. Matthews (P) ,08/24-12/08 ,TBA , 
SR ,12716,CSCE ,799,11,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Srihari Nelakuditi (P) ,08/24-12/08 ,TBA , 
SR ,12721,CSCE ,799,12,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Jason Matthew Okane (P) ,08/24-12/08 ,TBA , 
SR ,12725,CSCE ,799,13,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Ioannis M Rekleitis (P) ,08/24-12/08 ,TBA , 
SR ,12731,CSCE ,799,14,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,1,49,John R. Rose (P) ,08/24-12/08 ,TBA , 
SR ,12740,CSCE ,799,15,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Jijun Tang (P) ,08/24-12/08 ,TBA , 
SR ,12743,CSCE ,799,16,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Gabriel Alin Terejanu (P) ,08/24-12/08 ,TBA , 
SR ,12746,CSCE ,799,17,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,1,49,Matt Eric Thatcher (P) ,08/24-12/08 ,TBA , 
SR ,12749,CSCE ,799,18,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Yan Tong (P) ,08/24-12/08 ,TBA , 
SR ,12750,CSCE ,799,19,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Homayoun Valafar (P) ,08/24-12/08 ,TBA , 
SR ,12751,CSCE ,799,20,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Marco Valtorta (P) ,08/24-12/08 ,TBA , 
SR ,12754,CSCE ,799,21,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Jose M Vidal (P) ,08/24-12/08 ,TBA , 
SR ,12755,CSCE ,799,22,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Song Wang (P) ,08/24-12/08 ,TBA , 
SR ,18760,CSCE ,799,23,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Wenyuan Xu (P) ,08/24-12/08 ,TBA , 
SR ,21910,CSCE ,799,24,COL ,1.000-12.000 ,30 - Columbia Full Term ,Thesis Preparation ,  ,TBA ,50,0,50,Lannan Luo (P) ,08/24-12/08 ,TBA , 
SR ,18577,CSCE ,813,1,COL ,3,30 - Columbia Full Term ,Internet Security ,TR ,01:15 pm-02:30 pm ,22,14,8,TBA ,08/24-12/08 ,SWGN 2A05 , 
SR ,22202,CSCE ,813,6,COL ,3,30 - Columbia Full Term ,Internet Security ,TR ,01:15 pm-02:30 pm ,22,1,21,TBA ,08/24-12/08 ,WEB COLUMBIA , 
SR ,12756,CSCE ,899,1,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,1,49,Jason Daniel Bakos (P) ,08/24-12/08 ,TBA , 
SR ,12757,CSCE ,899,2,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Jenay Michelle Beer (P) ,08/24-12/08 ,TBA , 
SR ,12759,CSCE ,899,3,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Duncan A. Buell (P) ,08/24-12/08 ,TBA , 
SR ,12760,CSCE ,899,4,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,6,44,Csilla Farkas (P) ,08/24-12/08 ,TBA , 
SR ,12763,CSCE ,899,5,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Stephen A. Fenner (P) ,08/24-12/08 ,TBA , 
SR ,12764,CSCE ,899,6,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,1,49,Gregory James Gay (P) ,08/24-12/08 ,TBA , 
SR ,12767,CSCE ,899,7,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Jianjun Hu (P) ,08/24-12/08 ,TBA , 
SR ,18775,CSCE ,899,8,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,1,49,Chin-Tser Huang (P) ,08/24-12/08 ,TBA , 
SR ,12768,CSCE ,899,9,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Michael N. Huhns (P) ,08/24-12/08 ,TBA , 
SR ,12770,CSCE ,899,10,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Manton M. Matthews (P) ,08/24-12/08 ,TBA , 
SR ,12772,CSCE ,899,11,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,1,49,Srihari Nelakuditi (P) ,08/24-12/08 ,TBA , 
SR ,12775,CSCE ,899,12,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Jason Matthew Okane (P) ,08/24-12/08 ,TBA , 
SR ,12776,CSCE ,899,13,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Ioannis M Rekleitis (P) ,08/24-12/08 ,TBA , 
SR ,12778,CSCE ,899,14,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,John R. Rose (P) ,08/24-12/08 ,TBA , 
SR ,12779,CSCE ,899,15,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,3,47,Jijun Tang (P) ,08/24-12/08 ,TBA , 
SR ,12781,CSCE ,899,16,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,4,46,Gabriel Alin Terejanu (P) ,08/24-12/08 ,TBA , 
SR ,12782,CSCE ,899,17,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Matt Eric Thatcher (P) ,08/24-12/08 ,TBA , 
SR ,12784,CSCE ,899,18,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Yan Tong (P) ,08/24-12/08 ,TBA , 
SR ,12787,CSCE ,899,19,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Homayoun Valafar (P) ,08/24-12/08 ,TBA , 
SR ,12788,CSCE ,899,20,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Marco Valtorta (P) ,08/24-12/08 ,TBA , 
SR ,12790,CSCE ,899,21,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,4,46,Jose M Vidal (P) ,08/24-12/08 ,TBA , 
SR ,12792,CSCE ,899,22,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,5,45,Song Wang (P) ,08/24-12/08 ,TBA , 
SR ,18776,CSCE ,899,23,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,2,48,Wenyuan Xu (P) ,08/24-12/08 ,TBA , 
SR ,21911,CSCE ,899,24,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Yonghong Yan (P) ,08/24-12/08 ,TBA , 
SR ,30350,CSCE ,899,25,COL ,1.000-12.000 ,30 - Columbia Full Term ,Dissertation Preparation ,  ,TBA ,50,0,50,Lannan Luo (P) ,08/24-12/08 ,TBA , 
